price,normalized-loses,horsepower,bore,stroke,peak-rpm,engine-size
35056,142,155,3.46,3.1,4750,234
40960,,184,3.8,3.35,4500,308
45400,,184,3.8,3.35,4500,304
16503,,175,3.78,3.12,5000,140
5389,161,68,2.97,3.23,5500,92
6189,161,68,2.97,3.23,5500,92
6669,161,68,2.97,3.23,5500,92
7689,161,102,3.03,3.39,5500,98
9959,153,116,3.17,3.46,5500,110
8499,153,88,3.35,3.46,5000,122
12629,,145,3.58,3.86,5000,156
14869,,145,3.59,3.86,5000,156
14489,,145,3.59,3.86,5000,156
6989,125,88,3.35,3.46,5000,122
8189,125,88,3.35,3.46,5000,122
9279,125,116,3.17,3.46,5500,110
9279,137,116,3.17,3.46,5500,110
5499,128,69,3.15,3.29,5200,97
7099,128,55,2.99,3.47,4800,103
6649,128,69,3.15,3.29,5200,97
6849,122,69,3.15,3.29,5200,97
7349,103,69,3.15,3.29,5200,97
7299,128,69,3.15,3.29,5200,97
7799,128,69,3.15,3.29,5200,97
7499,122,69,3.15,3.29,5200,97
7999,103,69,3.15,3.29,5200,97
8249,168,69,3.15,3.29,5200,97
8949,106,97,3.33,3.47,5200,120
9549,106,97,3.33,3.47,5200,120
13499,128,152,3.43,3.27,5200,181
14399,108,152,3.43,3.27,5200,181
13499,108,152,3.43,3.27,5200,181
17199,194,160,3.43,3.27,5200,181
19699,194,200,3.43,3.27,5200,181
18399,231,160,3.43,3.27,5200,181
11900,161,97,3.46,3.19,5000,120
13200,161,95,3.7,3.52,4150,152
12440,,97,3.46,3.19,5000,120
13860,,95,3.7,3.52,4150,152
15580,161,95,3.46,2.19,5000,120
16900,161,95,3.7,3.52,4150,152
16695,,95,3.46,2.19,5000,120
17075,,95,3.7,3.52,4150,152
16630,161,97,3.46,3.19,5000,120
17950,161,95,3.7,3.52,4150,152
18150,161,142,3.61,3.21,5600,134
5572,119,68,2.97,3.23,5500,90
7957,119,102,3.03,3.39,5500,98
6229,154,68,2.97,3.23,5500,90
6692,154,68,2.97,3.23,5500,90
7609,154,68,2.97,3.23,5500,98
8921,74,88,3.35,3.46,5000,122
12764,,145,3.59,3.86,5000,156
22018,186,143,3.94,3.11,5500,151
32528,,207,3.74,2.9,5900,194
34028,,207,3.74,2.9,5900,194
37028,,207,3.74,2.9,5900,194
,,288,3.94,3.11,5750,203
9295,,,3.46,3.9,,132
9895,,,3.46,3.9,,132
11850,150,110,3.54,3.07,5250,121
12170,104,110,3.54,3.07,5250,121
15040,150,110,2.54,2.07,5250,121
15510,104,110,3.54,3.07,5250,121
18150,150,160,3.54,3.07,5500,121
18620,104,160,3.54,3.07,5500,121
5118,83,69,3.62,2.36,4900,97
7053,83,73,3.62,2.64,4400,108
7603,83,73,3.62,2.64,4400,108
7126,102,82,3.62,2.64,4800,108
7775,102,82,3.62,2.64,4400,108
9960,102,94,3.62,2.64,5200,108
9233,102,82,3.62,2.64,4800,108
11259,102,111,3.62,2.64,4800,108
7463,89,82,3.62,2.64,4800,108
10198,89,94,3.62,2.64,5200,108
8013,85,82,3.62,2.64,4800,108
11694,85,111,3.62,2.64,4800,108
5348,87,62,3.05,3.03,4800,92
6338,87,62,3.05,3.03,4800,92
6488,74,62,3.05,3.03,4800,92
6918,77,62,3.05,3.03,4800,92
7898,81,62,3.05,3.03,4800,92
8778,91,62,3.05,3.03,4800,92
6938,91,70,3.19,3.03,4800,98
7198,91,70,3.19,3.03,4800,98
7898,91,56,3.27,3.35,4500,110
7788,91,56,3.27,3.35,4500,110
7738,91,70,3.19,3.03,4800,98
8358,91,70,3.19,3.03,4800,98
9258,91,70,3.19,3.03,4800,98
8058,168,70,3.19,3.03,4800,98
8238,168,70,3.19,3.03,4800,98
9298,168,112,3.24,3.08,6600,98
9538,168,112,3.24,3.08,6600,98
8449,134,116,3.62,3.5,4800,146
9639,134,116,3.62,3.5,4800,146
9989,134,116,3.62,3.5,4800,146
11199,134,116,3.62,3.5,4800,146
11549,134,116,3.62,3.5,4800,146
17669,134,116,3.62,3.5,4800,146
8948,65,92,3.31,3.54,4200,122
10698,65,73,3.27,3.35,4500,110
9988,65,92,3.31,3.54,4200,122
10898,65,92,3.31,3.54,4200,122
11248,65,92,3.31,3.54,4200,122
16558,197,161,3.27,3.35,5200,171
15998,197,161,3.27,3.35,5200,171
15690,90,156,3.27,3.35,5200,171
15750,,156,3.27,3.35,5200,161
7775,122,52,3.01,3.4,4800,97
7975,122,85,3.19,3.4,5250,109
7995,94,52,3.01,3.4,4800,97
8195,94,85,3.19,3.4,5250,109
8495,94,85,3.19,3.4,5250,109
9495,94,68,3.01,3.4,4500,97
9995,94,100,3.19,3.4,5500,109
11595,,90,3.19,3.4,5500,109
9980,256,90,3.19,3.4,5500,109
13295,,110,3.19,3.4,5500,136
13845,,68,3.01,3.4,4500,97
12290,,88,3.19,3.4,5500,109
12940,103,114,3.78,3.15,5400,141
13415,74,114,3.78,3.15,5400,141
15985,103,114,3.78,3.15,5400,141
16515,74,114,3.78,3.15,5400,141
18420,103,162,3.62,3.15,5100,130
18950,74,162,3.62,3.15,5100,130
16845,95,114,3.78,3.15,5400,141
19045,95,160,3.78,3.15,5300,141
21485,95,134,3.58,2.87,5500,173
22470,95,106,3.01,3.4,4800,145
22625,95,114,3.78,3.15,5400,141
