att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,class
v1,8122,1,21873,55,4947,0.658,5757,35,0.64, class1
v2,7775,0,22630,39,1700,0.645,4702,14,0.88, class1
v2,8163,1,26270,33,1442,0.554,7002,56,0.39, class2
v2,7637,0,27508,61,5589,0.45,6935,23,0.55, class2
v1,7830,1,25709,50,3677,0.873,7293,37,0.71, class2
v1,7649,0,,71,5301,0.862,6564,26,0.67, class2
v2,7566,1,,61,2909,0.7,6668,37,0.63, class2
v1,8057,0,29592,43,1394,0.404,6360,15,0.82, class1
v3,7596,0,28889,51,5052,0.656,6523,56,0.88, class2
v1,7597,0,25731,37,1459,0.874,7199,57,0.73, class2
v2,7799,1,20434,34,4971,0.903,4713,16,0.44, class1
v1,7657,1,29719,54,1566,0.674,5757,23,0.73, class1
v1,7788,1,27270,47,5523,0.708,6359,28,0.72, class1
v3,7946,1,27182,29,1358,0.652,3368,36,0.72, class2
v1,7878,1,29493,72,5080,0.868,5303,47,0.44, class2
v3,7720,0,28523,38,5134,0.887,6470,62,0.73, class1
v1,8011,2,28374,65,3524,0.855,5788,18,0.89, class2
v2,8004,0,22482,38,3726,0.843,4450,60,0.62, class1
v1,7751,,28487,38,2233,0.548,6440,80,0.78, class1
v1,7679,0,29472,71,2405,0.649,5003,56,0.41, class1
v1,7536,1,29423,32,5634,0.862,7112,56,0.42, class1
v1,7769,0,29764,29,2394,0.897,5226,12,0.65, class1
v2,8108,1,29504,31,3909,0.806,3470,44,0.69, class2
v1,8151,1,29569,50,4147,0.889,6692,33,0.43, class2
v1,7951,0,20893,53,5613,0.906,6431,25,0.86, class1
v1,7827,2,28658,27,5686,0.47,6665,63,0.89, class1
v2,7676,1,28897,37,5531,0.534,4868,13,0.61, class1
v2,7781,0,29762,71,4073,0.707,5656,17,0.61, class2
v1,7642,2,20636,72,5094,0.643,3653,13,0.76, class1
v3,7779,1,,58,1482,0.666,5927,27,0.41, class2
v1,7755,2,22422,26,5299,0.486,3645,31,0.89, class1
v1,7947,0,20301,29,1264,0.87,5299,32,0.44, class1
v3,7948,2,28897,28,5357,0.913,6793,32,0.46, class2
v1,8158,2,,37,1352,0.836,3399,66,0.87, class1
v1,7989,2,26798,56,5265,0.398,6821,59,0.72, class1
v1,7589,1,29030,29,3469,0.6,6343,22,0.88, class2
v2,7948,2,25466,72,1854,0.873,7303,33,0.89, class1
v2,7948,1,29423,26,5513,0.833,4860,40,0.72, class2
v3,7516,0,29549,35,3484,0.766,5104,31,0.74, class2
v1,7750,1,29479,53,4682,0.894,5272,26,0.44, class2
v2,7844,0,17261,28,5472,0.626,5122,33,0.55, class2
v2,7658,2,29419,62,1201,0.886,6588,59,0.69, class1
v2,8160,0,19522,71,1518,0.644,3920,13,0.63, class2
v1,8191,1,29659,48,5445,0.659,4793,37,0.58, class1
v1,7763,1,29491,37,5392,0.698,5022,13,0.45, class2
v1,7535,1,28624,28,5613,0.39,7210,18,0.88, class2
v3,7631,0,19898,66,5674,0.464,5817,57,0.45, class1
v2,7951,2,28915,43,5029,0.405,6235,62,0.73, class1
v3,7947,2,28216,44,2006,0.907,6342,58,0.66, class1
v3,7815,2,21842,33,4981,0.865,3601,23,0.64, class2
v1,8152,1,18319,55,4125,0.891,5729,56,0.85, class1
v3,7870,0,27719,64,3221,0.91,4859,33,0.42, class1
v2,7634,0,29629,47,5273,0.646,5753,27,0.46, class2
v2,7778,2,29748,34,1414,0.487,6955,38,0.7, class2
v3,8015,0,20103,52,4972,0.87,3943,29,0.64, class2
v3,,0,27598,29,5506,0.641,6407,30,0.55, class2
v1,7948,1,,,5142,0.673,4113,55,0.56, class2
v1,7838,2,,64,5546,0.875,4520,56,0.89, class1
v2,8176,0,28323,71,3524,0.877,5612,55,0.45, class1
v1,7829,1,29544,55,5619,0.661,3193,20,0.45, class2
v1,8039,2,18944,63,5318,0.677,7001,32,0.62, class1
v3,7816,2,25568,39,1226,0.667,3416,56,0.7, class1
v2,7635,2,28465,67,1629,0.911,6833,20,0.59, class1
v2,7764,1,23144,67,1476,0.42,6828,30,0.61, class1
v2,7718,2,18518,68,5027,0.658,6584,24,0.45, class1
v1,7950,2,29027,31,2841,0.483,5673,66,0.8, class1
v2,7616,2,19334,32,2666,0.905,6557,21,0.59, class1
v1,8164,0,19051,56,1172,0.654,6065,33,0.88, class1
v3,8026,0,29741,41,5663,0.841,4436,33,0.84, class2
v1,7566,1,19828,41,5016,0.65,6837,34,0.6, class2
v3,8044,0,29738,52,5577,0.867,6211,63,0.47, class1
v2,8057,1,21519,72,5160,0.58,3735,57,0.5, class2
v1,8002,1,29400,36,5700,0.686,6628,21,0.5, class1
v1,7833,2,28219,40,5568,0.896,4876,29,0.4, class1
v2,7878,1,29650,47,5547,0.866,6260,28,0.9, class1
v3,7715,0,27378,39,4963,0.785,4759,53,0.52, class2
v2,7928,1,18097,71,1248,0.878,6174,31,0.7, class1
v2,8055,0,28439,71,1352,0.832,3552,24,0.44, class2
v1,7638,0,,34,1718,0.769,6198,58,0.65, class1
v3,7799,2,28938,31,5396,0.559,4087,30,0.62, class2
v1,7947,0,19506,71,4950,0.478,7217,33,0.69, class1
v1,8174,2,20940,35,5626,0.884,6587,30,0.88, class1
v3,7529,2,29564,28,5379,0.475,5021,12,0.41, class2
v3,7601,0,25359,51,5017,0.88,3848,66,0.62, class2
v2,7686,1,29584,65,2984,0.878,6994,39,0.62, class1
v1,7766,0,21225,46,1210,0.672,5794,21,0.53, class1
v1,7545,0,29463,28,3228,0.552,5892,56,0.46, class1
v3,8141,2,21872,36,5179,0.438,4161,31,0.39, class2
v2,7950,1,27052,72,1181,0.639,6228,24,0.77, class1
v1,8143,2,29697,47,2005,0.679,6546,14,0.58, class2
v2,7971,1,25303,31,2607,0.866,3255,54,0.51, class2
v3,8144,2,27497,72,3053,0.702,5051,32,0.65, class1
v3,7816,0,27278,34,5024,0.662,3605,26,0.52, class1
v3,7859,2,25737,45,3404,0.873,7056,32,0.64, class1
v2,7811,0,21842,38,5457,0.684,7322,54,0.47, class2
v2,7774,1,28799,34,1261,0.504,4804,56,0.79, class2
v1,7708,1,29685,37,1335,0.905,7058,37,0.77, class2
v1,7914,0,29549,71,1238,0.396,5744,59,0.65, class1
v1,7773,0,20693,72,1261,0.676,5488,29,0.69, class2
v1,7882,0,20618,50,5348,0.712,4828,58,0.77, class1
v3,7516,0,17231,36,3630,0.424,4108,27,0.43, class1
v1,7766,2,18249,72,4967,0.644,6130,65,0.74, class1
v1,7772,1,28133,46,5216,0.765,3952,29,0.89, class1
v1,7949,0,,72,5168,0.774,5268,24,0.7, class1
v3,7744,1,28285,33,1514,0.696,4477,30,0.39, class1
v2,7986,2,29512,60,5398,0.905,5444,26,0.87, class1
v3,7770,0,23732,70,1485,0.757,3764,16,0.61, class1
v2,8097,1,,35,5103,0.594,3799,37,0.61, class2
v1,7700,1,29662,33,5557,0.851,6800,59,0.66, class1
v3,7956,0,21550,34,2078,0.567,6918,49,0.74, class2
v1,8154,2,27445,36,1331,0.639,6164,45,0.9, class1
v1,7624,2,22730,49,5453,0.683,6659,25,0.66, class1
v3,7754,1,26022,41,1524,0.884,3229,20,0.85, class1
v2,7949,1,29385,29,1387,0.424,5677,30,0.47, class1
v3,8055,2,28171,34,5525,0.795,7259,57,0.88, class1
v3,7855,1,17301,28,4271,0.889,5554,48,0.64, class2
v2,7714,2,29417,65,4237,0.551,5946,12,0.73, class2
v2,7570,0,29433,69,1452,0.91,7077,43,0.43, class2
v2,7535,2,22457,35,1278,0.653,5266,41,0.44, class2
v3,8150,2,26806,71,5584,0.665,3815,37,0.54, class2
v2,7836,2,29552,49,2339,0.677,4608,30,0.8, class1
v2,7873,1,21319,43,3099,0.839,3697,12,0.48, class1
v3,8144,1,,28,1616,0.646,5556,58,0.45, class1
v1,7881,2,28295,53,5516,0.606,6244,40,0.61, class1
v3,7812,1,29547,41,3919,0.435,6148,33,0.9, class2
v2,7889,0,29431,71,5593,0.47,4589,34,0.39, class2
v3,7825,1,26707,72,1543,0.667,4662,28,0.43, class2
v2,8181,2,27845,30,4909,0.65,7211,24,0.81, class1
v1,7524,0,25607,39,4977,0.642,6290,34,0.46, class2
v3,7804,1,26732,30,5657,0.654,3775,56,0.77, class2
v3,7851,1,29691,33,1351,0.855,6935,35,0.66, class2
v2,8007,2,28110,51,2599,0.867,5751,49,0.63, class1
v3,7655,0,,62,5709,0.64,5036,44,0.52, class2
v3,7575,0,27827,43,1261,0.854,4346,45,0.72, class1
v2,7950,1,29384,34,5104,0.859,6449,55,0.63, class1
v1,8163,1,28756,28,1401,0.609,5296,26,0.69, class1
v2,7903,1,27255,35,1344,0.696,4072,66,0.66, class1
v2,7528,2,,27,1399,0.908,6873,32,0.39, class2
v2,7783,1,20421,61,1347,0.84,5594,56,0.67, class2
v1,8005,0,29762,69,1275,0.641,3964,66,0.51, class1
v1,7525,1,29499,27,1286,0.672,5689,66,0.87, class1
v3,7951,0,26472,49,5683,0.829,6845,20,0.89, class1
v3,8020,1,28475,42,5027,0.7,5433,15,0.87, class1
v3,7754,0,28426,46,5504,0.896,6402,32,0.44, class1
v1,7557,2,23026,41,3445,0.642,3387,28,0.39, class1
v2,7746,0,28297,72,2332,0.87,4842,61,0.86, class1
v2,7785,1,29192,32,2372,0.412,3906,38,0.47, class1
v3,7805,2,29284,33,5203,0.491,6385,30,0.89, class1
v3,7864,0,29591,72,4288,0.648,3849,59,0.66, class1
v1,8016,2,21972,57,5104,0.682,5492,66,0.6, class1
v2,7911,0,25761,29,4893,0.752,5309,14,0.88, class2
v1,8188,1,,43,1177,0.486,3721,37,0.47, class1
v3,8077,1,21681,72,5302,0.488,6502,34,0.49, class1
v3,7677,2,17023,51,1268,0.703,4218,43,0.63, class1
v2,8116,0,26448,36,1528,0.869,5228,33,0.44, class2
v1,7949,1,29316,51,5579,0.671,3625,58,0.39, class1
v1,7776,1,28289,27,5422,0.594,6875,38,0.45, class1
v1,7585,0,28356,32,5572,0.658,7349,29,0.86, class1
v1,8072,0,28946,49,1323,0.878,5627,39,0.43, class1
v1,7807,1,29221,35,3231,0.867,5638,33,0.43, class1
v1,7808,2,28768,34,5068,0.641,3519,36,0.47, class2
v2,8148,0,,69,5062,0.662,6947,28,0.4, class1
v3,7579,0,27971,36,5014,0.639,5645,34,0.79, class2
v1,7710,1,26726,30,5344,0.77,3232,64,0.53, class1
v2,7749,0,19898,32,1335,0.665,6044,40,0.61, class1
v2,7549,1,29574,40,5678,0.65,4352,38,0.66, class1
v2,7536,0,28044,55,1426,0.451,6654,30,0.65, class1
v3,7948,2,28534,38,1387,0.416,3555,39,0.82, class2
v1,7975,2,28148,38,5162,0.845,6590,9,0.61, class2
v1,7755,1,29472,29,1431,0.885,4028,58,0.41, class2
v2,7862,2,29726,26,1408,0.69,6932,21,0.62, class2
v1,7633,0,28800,29,1386,0.64,5345,30,0.67, class1
v2,1086,0,23735,57,4168,0.841,6475,23,0.79, class1
v2,7597,0,29475,70,3402,0.796,6790,30,0.88, class1
v1,8147,1,29390,71,3202,0.508,6887,40,0.58, class1
v2,8004,0,28470,30,5170,0.683,6168,36,0.46, class1
v1,7683,1,29626,62,1543,0.663,7357,30,0.89, class1
v3,7948,0,24981,32,5692,0.877,7318,57,0.89, class2
v2,8093,1,29446,39,1200,0.85,4456,66,0.5, class1
v2,7950,0,28503,51,4865,0.85,7109,15,0.65, class1
v2,8085,1,28794,46,2002,0.81,6975,13,0.86, class1
v3,7768,1,26759,33,5139,0.656,5411,48,0.9, class1
v2,8131,0,17627,35,1303,0.733,3530,30,0.65, class1
v2,7563,2,29629,36,5004,0.911,3499,32,0.88, class1
v1,7592,1,22088,71,5427,0.639,5240,33,0.55, class2
v1,7543,1,26291,32,5131,0.912,3956,30,0.76, class1
v3,7839,0,27460,32,4528,0.577,4957,44,0.69, class1
v2,7944,0,27582,69,5360,0.656,6621,14,0.6, class2
v2,7791,2,20757,39,2147,0.86,3208,34,0.73, class2
v2,7925,1,28895,71,1573,0.872,3692,30,0.82, class1
v1,7951,1,22959,35,2860,0.648,3917,57,0.46, class1
v1,7593,2,28541,72,5097,0.659,5377,39,0.88, class1
v2,8166,1,21510,29,5555,0.642,5069,56,0.47, class1
v2,8172,2,26566,26,5081,0.769,4907,29,0.62, class1
v1,7944,2,29698,50,5470,0.439,5275,21,0.89, class2
v1,7780,0,17992,41,3560,0.475,4181,30,0.64, class2
v1,7951,0,19357,64,5238,0.913,4744,13,0.78, class2
v3,7896,1,29626,50,5096,0.395,4810,39,0.68, class2
v3,7749,0,17943,33,1547,0.487,5781,35,0.83, class1
v1,8186,1,29746,47,5659,0.873,5004,24,0.44, class1
v3,7684,2,21237,57,2393,0.888,7148,57,0.42, class1
v2,8092,0,25689,69,2358,0.688,4532,41,0.89, class2
v2,7815,2,25356,72,1178,0.869,6837,57,0.89, class2
v1,7884,0,29526,,1321,0.405,4951,31,0.45, class1
v1,7551,1,27905,28,5625,0.607,6494,27,0.6, class1
v1,7533,2,24198,54,1295,0.847,5137,38,0.61, class1
v2,7812,1,25123,63,4998,0.851,6753,64,0.64, class1
v1,8106,1,29724,61,5033,0.735,4720,25,0.67, class1
v1,7653,0,28733,70,5649,0.442,5229,34,0.63, class1
v2,7766,1,,38,1711,0.867,5810,31,0.43, class1
v1,7582,0,27694,65,5049,0.403,3569,21,0.42, class1
v3,7871,2,18396,35,5514,0.914,3233,51,0.45, class2
v2,7947,2,21244,55,2007,0.724,7176,26,0.86, class2
v3,7925,2,29303,54,1405,0.69,6007,46,0.4, class1
v3,7587,2,29753,38,5594,0.559,4519,50,0.49, class2
v2,7651,2,,48,5438,0.669,6658,55,0.71, class1
v3,7906,0,29541,30,2596,0.649,5667,31,0.76, class1
v3,7571,0,25071,72,4963,0.678,6863,33,0.64, class1
v3,7829,1,27165,70,5716,0.647,7003,31,0.63, class1
v2,7733,2,29517,70,5324,0.744,5037,61,0.51, class1
v2,8138,2,22945,34,5471,0.675,4060,57,0.63, class2
v1,8049,0,25666,44,5646,0.674,6432,30,0.85, class1
v2,7788,0,27137,34,4549,0.887,4469,32,0.66, class2
v3,7877,0,29313,71,5508,0.842,3551,30,0.83, class1
v2,7948,2,29716,26,5504,0.875,4827,65,0.61, class2
v2,7519,0,28538,45,3821,0.886,3406,24,0.89, class1
v2,7760,2,25096,46,1273,0.665,7199,14,0.64, class1
v1,7825,1,29721,32,2071,0.858,4395,56,0.89, class1
v3,8185,0,27156,29,5695,0.874,4622,36,0.47, class1
v2,7607,2,27288,36,2842,0.687,4214,19,0.54, class2
v3,7721,1,25516,61,5037,0.638,5456,42,0.39, class2
v2,7947,0,20558,26,5388,0.859,4328,27,0.57, class1
v1,7999,1,17276,48,1292,0.858,4405,56,0.89, class2
v2,7907,1,17102,34,1217,0.501,3632,24,0.88, class1
v2,7660,1,29758,47,1905,0.605,5061,56,0.89, class1
v2,7811,1,24997,54,,0.719,6613,30,0.63, class1
v3,7591,1,29526,52,5240,0.779,5661,22,0.89, class2
v1,8156,0,27924,72,5040,0.899,,39,0.42, class1
v1,8182,1,26471,55,5268,0.679,6395,30,0.56, class1
v1,7554,0,28022,34,5504,0.869,3999,27,0.62, class1
v3,7950,2,29457,29,5394,0.664,6694,30,0.9, class2
v1,7823,1,19585,28,4314,0.878,6604,19,0.73, class1
v2,1887,1,,44,5038,0.67,5078,30,0.49, class1
v1,8170,0,20280,32,5215,0.688,5928,23,0.65, class1
v1,7774,2,29597,33,3898,0.9,6045,13,0.58, class1
v3,7677,0,29032,36,1397,0.871,4998,39,0.9, class2
v2,7947,0,29733,38,1232,0.858,6041,56,0.7, class2
v1,7512,2,27648,33,5448,0.647,5102,16,0.7, class1
v1,7904,1,20195,72,5621,0.638,7294,56,0.9, class1
v2,7816,1,29734,35,2230,0.89,3574,64,0.88, class1
v3,7857,0,28773,55,5686,0.913,7083,66,0.44, class1
v3,7815,1,29328,27,3007,0.91,4339,31,0.73, class1
v3,7901,0,27971,32,5136,0.657,4928,22,0.61, class1
v1,8079,1,29478,36,5683,0.645,5492,57,0.5, class1
v3,7818,0,29626,51,5571,0.641,3562,23,0.39, class1
v3,7758,2,29577,34,1837,0.445,6540,34,0.62, class1
v2,7884,0,18279,50,5211,0.913,4785,29,0.83, class1
v2,7948,0,26465,60,1492,0.645,3291,19,0.47, class2
v2,7862,2,20086,46,5389,0.638,5536,57,0.64, class1
v1,7813,2,29583,37,1556,0.856,7047,66,0.82, class1
v3,7532,1,28188,45,1553,0.871,6060,39,0.74, class1
v3,7767,1,22883,55,2980,0.865,4141,57,0.45, class1
v1,7948,0,24371,32,2196,0.485,5962,32,0.58, class1
v1,7542,0,29092,30,1950,0.443,5441,12,0.45, class1
v1,7752,0,26019,35,5585,0.914,3528,36,0.8, class1
v2,,1,19388,58,1532,0.432,5652,54,0.9, class2
v2,8172,0,29684,36,1513,0.642,6340,50,0.9, class1
v3,7909,0,16983,50,3079,0.649,4180,24,0.87, class1
v2,7750,0,17307,35,2491,0.863,6191,57,0.63, class1
v2,7534,2,21341,36,4549,0.506,4390,57,0.84, class1
v3,8001,2,29165,27,5009,0.873,3668,20,0.6, class1
v3,7939,1,26177,35,5636,0.641,4085,17,0.64, class1
v3,7624,1,29044,35,1303,0.665,6564,26,0.62, class1
v3,7619,1,20721,72,5675,0.911,5958,26,0.81, class2
v1,7685,0,25989,61,5436,0.652,6077,44,0.9, class1
v1,7807,2,29172,60,5020,0.819,4958,27,0.41, class2
v1,7750,2,29681,35,1499,0.876,6738,40,0.9, class1
v3,8179,2,26895,50,1551,0.902,5732,21,0.42, class1
v2,8164,0,28351,45,1351,0.509,6469,56,0.42, class1
v3,7933,1,29573,34,5623,0.664,4268,46,0.88, class1
v3,7763,1,29465,40,4109,0.909,5071,34,0.66, class1
v2,7534,1,28903,51,1194,0.906,3546,15,0.78, class1
v1,8177,1,27128,26,4528,0.494,5190,56,0.45, class1
v2,7868,0,29416,33,1978,0.905,6943,31,0.67, class2
v2,7785,1,28965,56,2529,0.905,3347,31,0.63, class1
v2,7678,0,20588,61,1197,0.598,4507,50,0.87, class1
v1,7739,0,26686,48,1203,0.661,3437,60,0.84, class1
v2,7744,1,29649,40,1521,0.718,6610,17,0.89, class1
v1,7926,0,29637,71,5101,0.623,4994,58,0.89, class1
v2,8108,2,29518,35,4035,0.687,7147,64,0.6, class2
v1,8126,2,29648,72,5667,0.854,4893,56,0.65, class1
v2,7707,2,29600,26,1688,0.445,7075,65,0.54, class1
v1,7737,0,20864,54,1548,0.699,5177,65,0.62, class1
v1,7951,2,27510,71,5001,0.663,4922,32,0.82, class2
v3,7928,0,23149,34,1370,0.793,4993,23,0.54, class1
v2,7906,2,28808,29,1552,0.895,4851,30,0.89, class2
v2,7558,2,29646,37,5427,0.909,5384,24,0.63, class1
v3,7879,2,28155,33,2606,0.591,5810,32,0.88, class1
v3,7833,2,19371,57,5409,0.64,7199,34,0.54, class1
v2,7989,0,26824,67,2296,0.876,3356,12,0.41, class1
v2,7586,1,29495,29,4951,0.89,6565,30,0.56, class1
v3,7520,2,22964,36,5246,0.885,4519,26,0.9, class1
v1,7762,0,29565,72,5577,0.872,6618,32,0.42, class2
v1,7514,0,23704,63,5550,0.913,6609,56,0.45, class1
v2,7836,1,28830,51,1493,0.701,6558,40,0.63, class1
v3,8099,1,27482,62,5496,0.87,7020,28,0.77, class1
v1,7635,0,29438,30,1501,0.843,,13,0.58, class2
v3,7845,2,27173,30,5539,0.613,7195,38,0.87, class2
v3,7904,0,29362,31,5109,0.556,5494,39,0.4, class2
v1,8138,0,29371,71,5235,0.461,3754,41,0.73, class1
v2,7632,1,29644,72,3824,0.866,5602,32,0.9, class1
v3,7722,2,25550,45,5444,0.863,5392,39,0.66, class1
v3,7843,0,29662,54,5033,0.909,6362,37,0.45, class2
v2,8127,0,21702,64,2580,0.893,6218,66,0.5, class1
v1,7680,2,19746,40,1252,0.657,7127,13,0.73, class1
v3,8166,0,28055,32,3385,0.664,5886,40,0.67, class1
v2,7968,1,24604,27,5634,0.644,3199,15,0.41, class2
v1,7948,2,29030,52,5284,0.724,5113,61,0.64, class2
v2,7660,2,28421,66,1225,0.848,6160,66,0.39, class2
v3,7742,2,24737,63,5510,0.867,4520,24,0.64, class1
v1,7729,0,29754,67,5700,0.66,5969,13,0.77, class1
v3,7577,2,19293,37,5465,0.909,3788,25,0.9, class2
v2,7514,0,27988,47,5095,0.595,5867,59,0.75, class1
v2,7741,0,29626,53,5352,0.773,5568,31,0.62, class1
v2,7948,2,29454,68,4940,0.859,7071,17,0.89, class2
v3,7817,1,28443,72,3245,0.885,3219,33,0.89, class1
