,movie_code,duration,facenumber_in_poster,country,budget,gross,num_voted_users,num_user_for_reviews,num_critic_for_reviews,movie_facebook_likes,director_facebook_likes,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,cast_total_facebook_likes,imdb_score,imdb_score_class
4106,4107,86.0,4.0,Canada,3000000.0,703002.0,37495,230.0,272.0,37000,59.0,694.0,324.0,104.0,1249,6.1,Good
3901,3902,93.0,0.0,USA,4000000.0,13008928.0,73501,333.0,172.0,27000,0.0,355.0,151.0,133.0,837,7.3,Good
5020,5021,85.0,0.0,USA,15000.0,192467.0,4067,71.0,51.0,297,157.0,830.0,224.0,10.0,1064,6.6,Good
1789,1790,134.0,0.0,USA,28000000.0,5532301.0,21606,117.0,85.0,0,17000.0,2.0,2.0,0.0,4,7.0,Good
790,791,87.0,0.0,USA,60000000.0,29136626.0,97089,233.0,225.0,20000,124.0,865.0,441.0,77.0,1417,5.7,Fair
462,463,118.0,0.0,USA,80000000.0,94822707.0,227072,560.0,325.0,20000,117.0,18000.0,15000.0,10000.0,44797,6.9,Good
2390,2391,97.0,3.0,USA,18000000.0,150056505.0,216581,397.0,351.0,21000,89.0,920.0,798.0,329.0,2771,6.4,Good
2084,2085,110.0,0.0,USA,22000000.0,90636983.0,44021,83.0,112.0,0,99.0,12000.0,941.0,835.0,15170,6.2,Good
2652,2653,100.0,0.0,USA,15000000.0,35054909.0,431578,1264.0,676.0,81000,0.0,33000.0,745.0,228.0,34337,7.8,Good
2589,2590,93.0,0.0,USA,16000000.0,,155249,304.0,84.0,115000,529.0,1000.0,884.0,805.0,4453,8.1,Excellent
4271,4272,106.0,2.0,USA,2000000.0,,1381,29.0,10.0,60,85.0,480.0,392.0,300.0,1833,7.0,Good
1472,1473,109.0,3.0,USA,35000000.0,19692608.0,63548,134.0,298.0,0,90.0,1000.0,412.0,344.0,2073,6.2,Good
662,663,137.0,0.0,USA,65000000.0,115603980.0,103589,351.0,322.0,35000,11000.0,769.0,698.0,465.0,2938,7.2,Good
4378,4379,106.0,1.0,Mexico,,12589108.0,5526,58.0,75.0,0,36.0,953.0,399.0,345.0,2198,7.4,Good
2563,2564,109.0,0.0,USA,16000000.0,16346122.0,25549,171.0,103.0,0,7.0,835.0,787.0,450.0,2572,7.2,Good
1684,1685,96.0,2.0,USA,30000000.0,18967571.0,23345,167.0,105.0,629,845.0,978.0,968.0,488.0,3072,6.1,Good
2626,2627,87.0,0.0,USA,15000000.0,47860214.0,34711,468.0,152.0,0,165.0,1000.0,431.0,383.0,2452,5.0,Fair
3435,3436,89.0,1.0,Hong Kong,7500000.0,32333860.0,29843,81.0,62.0,0,7.0,186.0,147.0,36.0,407,6.7,Good
2362,2363,116.0,0.0,USA,19000000.0,210609762.0,732212,809.0,198.0,39000,0.0,1000.0,690.0,459.0,3230,8.5,Excellent
4761,4762,102.0,0.0,USA,,316842.0,15756,68.0,166.0,0,487.0,991.0,943.0,118.0,2099,6.4,Good
4752,4753,100.0,3.0,USA,500000.0,31937.0,1358,10.0,9.0,60,6.0,396.0,326.0,325.0,2310,5.7,Fair
1011,1012,100.0,5.0,USA,40000000.0,19118247.0,19829,94.0,59.0,779,65.0,1000.0,923.0,730.0,6171,5.4,Fair
3194,3195,92.0,4.0,USA,10000000.0,3060858.0,1768,37.0,27.0,208,4.0,754.0,324.0,311.0,1891,5.6,Fair
4484,4485,103.0,0.0,USA,1200000.0,55153403.0,299127,1509.0,287.0,0,0.0,2000.0,878.0,651.0,5161,7.7,Good
2564,2565,107.0,1.0,USA,16000000.0,16204793.0,92712,294.0,300.0,6000,45.0,24000.0,396.0,271.0,24805,5.1,Fair
157,158,154.0,1.0,USA,140000000.0,111110575.0,317166,928.0,190.0,0,380.0,10000.0,956.0,445.0,11945,7.7,Good
422,423,106.0,1.0,USA,85000000.0,64933670.0,70838,208.0,382.0,18000,763.0,8000.0,886.0,809.0,11454,5.6,Fair
583,584,116.0,2.0,USA,70000000.0,152149590.0,74274,255.0,103.0,0,0.0,8000.0,3000.0,995.0,12790,5.5,Fair
448,449,101.0,4.0,USA,80000000.0,133668525.0,107817,255.0,139.0,14000,221.0,12000.0,11000.0,11000.0,39269,5.4,Fair
1946,1947,7.0,0.0,UK,,,7968,12.0,12.0,834,,45.0,7.0,3.0,55,8.3,Excellent
4509,4510,84.0,0.0,Canada,1200000.0,,1321,51.0,22.0,238,0.0,380.0,91.0,63.0,630,3.8,Bad
3792,3793,90.0,0.0,USA,5000000.0,124720.0,1560,15.0,27.0,777,6.0,3000.0,1000.0,940.0,4987,7.3,Good
2540,2541,89.0,0.0,USA,16000000.0,92823600.0,149108,273.0,114.0,0,0.0,227.0,73.0,62.0,485,7.6,Good
4461,4462,95.0,1.0,USA,1300000.0,695229.0,11369,65.0,43.0,872,12000.0,12000.0,680.0,636.0,14420,7.2,Good
4324,4325,102.0,0.0,USA,,13220.0,289,9.0,20.0,115,0.0,473.0,303.0,46.0,892,3.9,Bad
4446,4447,101.0,1.0,USA,1500000.0,,1547,42.0,35.0,750,37.0,501.0,418.0,56.0,1044,3.3,Bad
1989,1990,117.0,1.0,UK,25000000.0,,3334,52.0,21.0,739,71.0,433.0,54.0,42.0,611,4.8,Fair
1283,1284,86.0,0.0,USA,40000000.0,22717758.0,11156,67.0,34.0,0,7.0,10000.0,908.0,795.0,14275,6.2,Good
2089,2090,114.0,0.0,USA,22000000.0,50728000.0,48909,166.0,53.0,0,34.0,649.0,327.0,287.0,1725,5.8,Fair
654,655,140.0,0.0,USA,62000000.0,172071312.0,208817,296.0,159.0,5000,2000.0,15000.0,968.0,552.0,17171,7.6,Good
1898,1899,100.0,0.0,USA,25000000.0,52528330.0,4265,27.0,24.0,0,0.0,975.0,521.0,400.0,3202,4.7,Fair
1040,1041,120.0,0.0,USA,49000000.0,31569268.0,172965,627.0,371.0,67000,662.0,20000.0,2000.0,502.0,23051,6.9,Good
4450,4451,113.0,2.0,UK,1455000.0,,1978,41.0,10.0,209,74.0,984.0,423.0,387.0,2140,5.5,Fair
2977,2978,81.0,0.0,USA,10000000.0,6982680.0,6965,69.0,29.0,262,25.0,931.0,744.0,654.0,3848,5.7,Fair
3250,3251,100.0,1.0,UK,10000000.0,,1250,16.0,31.0,695,98.0,1000.0,891.0,95.0,2227,5.4,Fair
4634,4635,100.0,1.0,USA,950000.0,,7870,64.0,8.0,884,12.0,529.0,413.0,354.0,2468,6.0,Fair
4755,4756,87.0,3.0,USA,,,299,11.0,2.0,29,0.0,584.0,507.0,347.0,1924,5.0,Fair
4412,4413,103.0,1.0,USA,1500000.0,53991137.0,202800,752.0,445.0,60000,0.0,852.0,618.0,588.0,3030,6.8,Good
4593,4594,95.0,0.0,USA,900000.0,100659.0,30160,193.0,238.0,0,243.0,969.0,962.0,725.0,3833,6.4,Good
4479,4480,92.0,0.0,USA,1250000.0,,11047,116.0,74.0,1000,83.0,469.0,79.0,48.0,683,7.1,Good
53,54,122.0,2.0,USA,185000000.0,317011114.0,333847,2054.0,470.0,5000,14000.0,11000.0,1000.0,1000.0,14959,6.2,Good
2054,2055,101.0,1.0,USA,12500000.0,40962534.0,188652,288.0,421.0,22000,0.0,33000.0,22000.0,1000.0,57077,7.1,Good
2252,2253,108.0,2.0,USA,19000000.0,25753840.0,219091,592.0,165.0,12000,0.0,16000.0,4000.0,844.0,23296,7.3,Good
733,734,156.0,5.0,USA,55000000.0,75530832.0,97047,452.0,171.0,0,0.0,14000.0,2000.0,1000.0,20761,6.8,Good
2948,2949,102.0,10.0,USA,12000000.0,25277561.0,21672,93.0,161.0,0,0.0,3000.0,966.0,555.0,5592,6.5,Good
4730,4731,120.0,1.0,USA,1000000.0,3773863.0,4583,55.0,20.0,0,3.0,984.0,801.0,234.0,2563,7.1,Good
3861,3862,110.0,0.0,Hong Kong,35000000.0,49413.0,6919,26.0,98.0,528,143.0,155.0,96.0,76.0,398,7.3,Good
3168,3169,94.0,10.0,USA,6000000.0,8828771.0,79146,352.0,180.0,25000,0.0,20000.0,14000.0,3000.0,41059,4.3,Fair
406,407,104.0,5.0,USA,75000000.0,78009155.0,110073,194.0,236.0,0,420.0,2000.0,906.0,535.0,3768,6.2,Good
2405,2406,107.0,1.0,USA,15000000.0,59735548.0,290949,629.0,217.0,13000,323.0,1000.0,1000.0,794.0,4223,7.8,Good
2963,2964,93.0,2.0,USA,,13960203.0,2301,15.0,11.0,439,3.0,1000.0,560.0,324.0,2939,5.3,Fair
